UPRN,YearMonth,CO2_EMISS_CURR_PER_FLOOR_AREA,ENERGY_CONSUMPTION_CURRENT,Estimated Energy_DOM_rf (kwh/m2)
10009005414.0,2016-01,73,416,311.89794237984245
200004486.0,2016-09,66,392,503.9670238095239
100021763595.0,2016-11,40,229,298.2085805916306
6076606.0,2016-12,52,306,209.68034408369408
12022693.0,2016-12,54,304,235.48021296481298
34160195.0,2016-12,26,146,91.56078031968036
46048482.0,2016-12,60,338,710.5887183594184
46088461.0,2016-12,33,187,221.1403056998557
46091259.0,2016-12,41,234,233.43133947718948
202065628.0,2016-12,26,150,153.00145332445322
5300024352.0,2016-12,32,181,271.80295144300146
10008231988.0,2016-12,38,217,164.70597992007993
10008251944.0,2016-12,46,263,212.95082720057718
10010258183.0,2016-12,47,276,332.2069666777668
10011843595.0,2016-12,67,378,222.93668454878454
10093591557.0,2016-12,32,192,365.9314829725829
100021061527.0,2016-12,57,322,180.26094250194254
100022014931.0,2016-12,40,238,155.91815876345873
100022746932.0,2016-12,34,193,144.00622720057717
100023036656.0,2016-12,53,302,203.99032277722273
200003462515.0,2016-12,28,160,178.17015793095788
200003498261.0,2016-12,33,186,141.56968131313118
5054038.0,2017-01,48,271,180.50360365745362
12050600.0,2017-01,41,234,608.3063471861471
12084515.0,2017-01,40,232,548.9774699689199
34098007.0,2017-01,42,240,214.58252443112443
46035007.0,2017-01,34,192,242.04715445110446
46067432.0,2017-01,51,287,384.75580222000224
46073858.0,2017-01,56,320,561.3480088522588
46088030.0,2017-01,53,301,138.31510036630036
200010499.0,2017-01,59,332,179.38077013542014
200127028.0,2017-01,86,486,175.8216394771895
202121152.0,2017-01,58,328,220.3186085081585
207045704.0,2017-01,38,215,126.0469299145299
207142395.0,2017-01,55,313,242.80330823620824
207144885.0,2017-01,58,331,272.93445861360857
5300026073.0,2017-01,32,182,233.48345765900766
5300062065.0,2017-01,37,213,244.1524365079365
5870038145.0,2017-01,68,387,225.5255786519037
10000816968.0,2017-01,15,85,93.09320049950063
10001008317.0,2017-01,51,288,276.46063131313133
10008347081.0,2017-01,116,687,438.6034928293927
10011844490.0,2017-01,26,146,277.5279192088957
10034912754.0,2017-01,34,192,220.8712841269841
10090266751.0,2017-01,126,744,204.0959668109668
10090548284.0,2017-01,25,146,186.63422045732048
10092981041.0,2017-01,63,356,367.97233921078924
100020192455.0,2017-01,30,170,188.9940549339549
100020192459.0,2017-01,46,262,144.81747460317467
100020192481.0,2017-01,46,259,269.0460805194805
100020212143.0,2017-01,53,300,201.30358322788325
100020962917.0,2017-01,33,187,249.5098645021645
100021028248.0,2017-01,49,276,247.3296420801421
100021038519.0,2017-01,44,250,136.96552738927736
100021336187.0,2017-01,29,166,199.90286137196136
100021360386.0,2017-01,68,403,248.91020212565212
100021464846.0,2017-01,45,259,279.41529622599626
100021505732.0,2017-01,46,262,216.10045087690085
100021536335.0,2017-01,45,257,133.2408466644465
100021888366.0,2017-01,46,260,290.0039571229424
100021986552.0,2017-01,44,252,514.6875981240983
100022349172.0,2017-01,37,207,198.63841522366525
100022541299.0,2017-01,50,285,274.41265508658006
100022657216.0,2017-01,30,171,139.38191725790549
200003402051.0,2017-01,29,163,316.65918282273276
6030660.0,2017-02,27,156,226.4477499111999
6059811.0,2017-02,58,327,161.0025437673438
12036285.0,2017-02,54,306,402.7188210234211
46010281.0,2017-02,33,186,233.63323582528582
48006711.0,2017-02,34,191,319.058323942724
200082081.0,2017-02,74,421,271.8491753468753
200104294.0,2017-02,113,671,302.82658148518146
200140931.0,2017-02,64,379,157.564392984793
200229947.0,2017-02,23,130,356.0589354756355
202199234.0,2017-02,88,500,172.41034950604947
202225536.0,2017-02,54,305,222.16483375513374
207042451.0,2017-02,47,277,272.4440433621934
207127568.0,2017-02,32,180,217.8690927905428
217078138.0,2017-02,80,454,252.23628874458876
5300002500.0,2017-02,30,171,95.97245190365189
5300012911.0,2017-02,35,197,329.7562543401043
5300023613.0,2017-02,47,267,540.0501490620491
5870093003.0,2017-02,64,360,261.27467107337105
10003978107.0,2017-02,66,391,208.08476085858587
10012790927.0,2017-02,17,99,115.76324717504716
10093049539.0,2017-02,71,401,189.74392460317458
100020187444.0,2017-02,36,202,289.39545089910087
100020204593.0,2017-02,49,278,134.1219955932955
100020277024.0,2017-02,46,261,239.26659876234876
100020420752.0,2017-02,31,176,245.62089307359307
100020427382.0,2017-02,55,312,111.91260794760785
100020444636.0,2017-02,44,249,424.5310572150073
100020935080.0,2017-02,29,165,160.82487433122435
100020953475.0,2017-02,75,425,467.8288382173379
100021039454.0,2017-02,46,258,275.6384270951271
100021162041.0,2017-02,32,182,197.26846789321795
100021212880.0,2017-02,36,204,435.9595051393053
100021338032.0,2017-02,44,252,326.6852335331336
100021342292.0,2017-02,20,113,157.56384952824948
100021447807.0,2017-02,56,320,175.59665590520595
100021527855.0,2017-02,63,358,118.62689740814733
100021536501.0,2017-02,41,233,210.55875833055833
100021803546.0,2017-02,35,199,318.7678898157398
100021893524.0,2017-02,28,161,273.781578954379
100022348788.0,2017-02,58,276,269.8726365023865
100022524071.0,2017-02,116,685,293.1521048396048
100022538470.0,2017-02,32,182,207.52456349206352
100022584822.0,2017-02,34,195,414.3398973692973
100022656262.0,2017-02,42,238,335.15557496392495
100022664128.0,2017-02,89,519,300.3507010378511
100022682687.0,2017-02,79,467,305.5240411754911
100022704999.0,2017-02,57,336,252.5559347152847
100023256782.0,2017-02,65,366,211.29151535686532
200000460829.0,2017-02,64,360,317.34397813852814
200000489181.0,2017-02,49,288,239.4160083805084
200003414346.0,2017-02,90,530,216.06327324342325
6033658.0,2017-03,45,253,417.36379334831827
6045296.0,2017-03,39,223,281.5138379231879
12091979.0,2017-03,46,262,181.6218961149961
12096978.0,2017-03,27,157,235.31513165723166
46043744.0,2017-03,39,214,491.0370654900653
121011301.0,2017-03,44,250,269.02493470973474
200089430.0,2017-03,46,262,121.77856988011995
200109300.0,2017-03,38,214,315.4782924908425
202026038.0,2017-03,31,179,229.15663521478518
202105218.0,2017-03,43,242,306.6013693750694
202150773.0,2017-03,40,225,360.6800493950493
202218404.0,2017-03,67,380,228.5886088078588
202220242.0,2017-03,69,410,228.30970078255078
207022573.0,2017-03,82,474,372.11490986235987
207150010.0,2017-03,29,164,320.01044492174486
217010499.0,2017-03,67,382,332.82924790764787
217063425.0,2017-03,57,324,212.42266407481404
5300035779.0,2017-03,31,174,172.35967547452543
